observed_date,source,market,canonical_fish_name,noryangjin_species_name,source_species_name,trade_state,origin,spec,package_unit,quantity,weight,high_price_krw,low_price_krw,avg_price_krw,source_url
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,5/6미,kg,86,,22000,22000,22000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,3미,kg,1063.8,,23000,7000,18000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,통영,1미,kg,3.1,,13000,13000,13000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,2/3미,kg,33.5,,22000,14000,18600,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(선)참돔,선,일본,2미,kg,5.8,,5500,5500,5500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,혹돔,(활)혹돔,활,통영,1미,kg,8.5,,13000,13000,13000,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,,딱돔,(활)딱돔,활,중국,5미,kg,6.4,,17500,17500,17500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,통영,4/5미,kg,54,,11000,7000,9500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,4/5미,kg,113.4,,24000,17000,20600,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
2026-07-10,noryangjin,노량진수산물도매시장,참돔,참돔,(활)참돔,활,일본,5미,kg,110.3,,13000,12000,12500,https://www.susansijang.co.kr/nsis/miw/ko/info/miw3110
